date,block0,block1,block2,block3,block4,block5
2025-10-08,35.0,71.52,85.6,85.88,84.88,54.6
2025-10-09,28.2,77.16,93.08,123.48,88.7,52.12
2025-10-10,34.71,66.16,85.0,120.0,88.48,48.0
2025-10-11,28.56,56.4,76.0,84.4,60.0,42.36
2025-10-12,33.0,36.94,92.76,124.81,52.0,36.1
2025-10-13,17.81,51.83,75.7,88.0,52.0,48.0
2025-10-14,29.03,61.88,96.0,92.0,73.32,56.12
2025-10-15,19.95,60.0,68.2,72.0,62.8,36.0
2025-10-16,18.4,50.2,63.0,54.6,55.2,34.0
2025-10-17,18.4,44.73,55.2,57.0,34.89,27.61
2025-10-18,18.25,44.0,52.0,76.0,49.12,40.0
2025-10-19,18.4,33.05,58.2,78.13,42.74,34.82
2025-10-20,18.4,53.2,55.2,57.79,40.0,44.0
2025-10-21,42.0,60.47,73.1,73.62,40.0,40.2
2025-10-22,58.67,66.0,75.0,133.16,98.56,49.08
2025-10-23,33.86,44.0,54.24,75.64,56.6,56.41
2025-10-24,40.0,53.7,100.0,99.52,88.96,57.8
2025-10-25,40.0,48.0,59.02,76.0,76.56,56.0
2025-10-26,54.22,48.0,58.0,72.0,63.6,48.0
2025-10-27,64.2,88.0,92.76,75.94,47.01,72.62
2025-10-28,64.2,88.0,92.76,75.94,47.01,72.62
2025-10-29,64.2,88.0,92.76,75.94,47.01,72.62
2025-10-30,49.16,59.06,71.6,85.85,45.88,41.23
2025-10-31,32.4,40.88,55.6,55.2,36.95,40.0
2025-11-01,33.4,34.0,61.16,67.21,56.0,45.72
2025-11-02,36.0,35.33,55.6,48.62,44.12,33.0
2025-11-03,32.0,42.5,80.0,48.0,40.0,38.0
2025-11-04,35.0,40.0,84.0,61.6,42.44,36.0
2025-11-05,40.0,40.0,62.24,64.16,41.7,33.33
2025-11-06,32.0,40.0,74.92,77.6,41.0,18.4
2025-11-07,25.58,35.3,60.0,62.0,40.0,32.0
2025-11-08,19.1,40.1,44.36,51.0,31.16,26.28
2025-11-09,18.4,21.86,23.1,22.76,18.4,19.79
2025-11-10,18.0,32.0,34.51,51.52,51.52,39.18
2025-11-11,16.25,46.5,35.0,39.56,38.0,32.0
2025-11-12,17.0,44.46,55.16,45.74,32.74,33.77
2025-11-13,23.2,50.0,63.8,60.0,28.5,26.8
2025-11-14,20.0,29.0,40.0,40.0,19.0,24.0
2025-11-15,28.0,33.88,30.0,36.21,28.11,18.78
2025-11-16,25.0,21.52,31.8,36.21,32.93,24.97
2025-11-17,25.1,36.0,49.46,40.0,39.03,23.2
2025-11-18,24.68,32.04,48.0,55.2,24.67,20.0
2025-11-19,28.44,39.47,40.0,42.28,28.45,25.99
2025-11-20,18.04,32.0,39.36,38.0,36.0,24.02
2025-11-21,23.29,28.0,28.96,36.0,34.7,17.6
2025-11-22,14.99,17.17,27.0,30.98,23.47,17.2
2025-11-23,17.5,23.9,30.1,31.0,17.4,18.0
2025-11-24,19.2,40.0,54.08,65.37,51.0,30.56
2025-11-25,19.0,51.0,63.08,74.88,59.79,26.4
2025-11-26,25.2,50.16,114.03,67.9,92.0,24.0
2025-11-27,24.81,53.56,60.69,53.33,60.12,30.16
2025-11-28,27.4,48.0,44.44,42.08,40.0,29.75
2025-11-29,25.6,31.5,36.0,32.72,34.66,29.0
2025-11-30,30.64,33.44,40.2,36.46,26.12,20.0
2025-12-01,29.0,35.32,41.52,40.0,26.0,26.4
2025-12-02,24.0,45.45,32.6,47.12,28.0,24.0
2025-12-03,24.16,44.0,47.1,54.03,55.2,24.29
2025-12-04,21.2,52.0,55.2,59.52,55.6,25.1
2025-12-05,16.1,36.0,40.0,38.3,40.0,23.06
2025-12-06,12.0,32.0,30.0,28.8,26.31,17.5
2025-12-07,16.33,45.24,29.0,25.23,24.0,22.8
2025-12-08,31.23,51.87,40.4,28.0,27.36,25.3
2025-12-09,35.36,40.0,56.0,41.19,28.0,23.5
2025-12-10,34.78,49.62,40.0,39.44,16.48,17.5
2025-12-11,34.8,48.87,36.0,36.0,20.0,17.0
2025-12-12,26.99,36.0,32.04,29.68,27.88,17.36
2025-12-13,24.0,28.0,20.79,25.96,15.12,23.68
2025-12-14,21.23,22.37,30.23,25.0,17.2,20.14
2025-12-15,22.4,32.03,34.9,36.97,15.4,18.68
2025-12-16,18.05,36.78,34.0,37.01,40.0,21.47
2025-12-17,13.29,28.8,26.57,23.06,23.68,21.0
2025-12-18,13.2,28.0,33.25,28.0,28.0,23.0
2025-12-19,24.0,29.6,13.72,15.0,13.6,15.0
2025-12-20,24.0,37.16,19.16,25.11,13.64,18.72
2025-12-21,24.85,25.57,28.0,26.52,23.98,19.68
2025-12-22,28.23,26.53,16.6,18.72,15.0,16.07
2025-12-23,29.34,26.68,15.0,16.6,14.99,20.48
2025-12-24,25.35,24.0,26.0,24.37,24.0,20.0
2025-12-25,24.0,24.47,24.12,25.45,28.0,16.07
2025-12-26,28.2,27.4,25.46,26.0,25.4,14.4
2025-12-27,19.7,18.75,21.17,19.5,19.5,13.6
2025-12-28,15.5,14.5,17.91,17.94,17.33,12.0
2025-12-29,20.8,16.0,14.5,16.77,17.33,14.5
2025-12-30,20.03,16.23,17.0,20.94,17.8,11.44
2025-12-31,16.0,17.5,13.5,17.82,16.0,15.0
